id,hname,City,state,ZIP Code,county,total_amount,year,group
3527,SOUTHERN COOS HOSPITAL & HEALTH CENTER,BANDON,OR,97411,COOS,78,1,medium
3528,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,LAS VEGAS,NV,89148,CLARK,20,0,low
3529,SOUTHERN MAINE HEALTH CARE,BIDDEFORD,ME,4005,YORK,20,0,low
3530,SOUTHERN NH MEDICAL CENTER,NASHUA,NH,3060,HILLSBOROUGH,21,0,low
3531,SOUTHERN OCEAN MEDICAL CENTER,MANAHAWKIN,NJ,8050,OCEAN,22,1,medium
3532,SOUTHERN OHIO MEDICAL CENTER,PORTSMOUTH,OH,45662,SCIOTO,20,0,low
3533,SOUTHERN PALMETTO HOSPITAL,BARNWELL,SC,29812,BARNWELL,20,0,low
3534,SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,30274,CLAYTON,21,0,low
3535,SOUTHERN SURGICAL HOSPITAL,SLIDELL,LA,70458,SAINT TAMMANY,48,1,medium
3536,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE,LAWRENCEBURG,TN,38464,LAWRENCE,20,0,low
3537,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,PULASKI,TN,38478,GILES,20,0,low
3538,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,WINCHESTER,TN,37398,FRANKLIN,20,0,low
3539,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,EMPORIA,VA,23847,EMPORIA CITY,21,0,low
3540,"SOUTHSIDE COMMUNITY HOSPITAL, INC",FARMVILLE,VA,23901,PRINCE EDWARD,21,0,low
3541,SOUTHSIDE HOSPITAL,BAY SHORE,NY,11706,SUFFOLK,21,0,low
3542,SOUTHSIDE REGIONAL MEDICAL CENTER,PETERSBURG,VA,23805,PETERSBURG CITY,20,0,low
3543,SOUTHWEST GENERAL HEALTH CENTER,MIDDLEBURG HEIGHTS,OH,44130,CUYAHOGA,20,0,low
3544,SOUTHWEST GENERAL HOSPITAL,SAN ANTONIO,TX,78224,BEXAR,26,1,medium
3545,SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER,CUTHBERT,GA,39840,RANDOLPH,21,0,low
3546,SOUTHWEST HEALTH CENTER,PLATTEVILLE,WI,53818,GRANT,26,1,medium
3547,SOUTHWEST HEALTHCARE SYSTEM,MURRIETA,CA,92562,RIVERSIDE,21,0,low
3548,SOUTHWEST MEDICAL CENTER,LIBERAL,KS,67901,SEWARD,21,0,low
3549,SOUTHWEST MEMORIAL HOSPITAL,CORTEZ,CO,81321,MONTEZUMA,42,1,medium
3550,SOUTHWEST MS REGIONAL MEDICAL CENTER,MCCOMB,MS,39649,PIKE,22,1,medium
3551,SOUTHWEST REGIONAL MEDICAL CENTER,WAYNESBURG,PA,15370,GREENE,21,0,low
3552,SOUTHWESTERN MEDICAL CENTER,LAWTON,OK,73505,COMANCHE,21,0,low
3553,"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC",TULSA,OK,74133,TULSA,103,1,medium
3554,SOUTHWESTERN VERMONT MEDICAL CENTER,BENNINGTON,VT,5201,BENNINGTON,21,0,low
3555,SPALDING REGIONAL HOSPITAL,GRIFFIN,GA,30223,SPALDING,22,1,medium
3556,SPANISH PEAKS REGIONAL HEALTH CENTER,WALSENBURG,CO,81089,HUERFANO,33,1,medium
3557,SPARKS MEDICAL CENTER - VAN BUREN,VAN BUREN,AR,72956,CRAWFORD,22,1,medium
3558,SPARKS REGIONAL MEDICAL CENTER,FORT SMITH,AR,72902,SEBASTIAN,20,0,low
3559,SPARROW CARSON HOSPITAL,CARSON CITY,MI,48811,MONTCALM,20,0,low
3560,SPARROW CLINTON HOSPITAL,SAINT JOHNS,MI,48879,CLINTON,28,1,medium
3561,SPARROW IONIA HOSPITAL,IONIA,MI,48846,IONIA,28,1,medium
3562,SPARTA COMMUNITY HOSPITAL,SPARTA,IL,62286,RANDOLPH,84,1,medium
3563,SPARTANBURG REGIONAL MEDICAL CENTER,SPARTANBURG,SC,29303,SPARTANBURG,20,0,low
3564,SPEARE MEMORIAL HOSPITAL,PLYMOUTH,NH,3264,GRAFTON,20,0,low
3565,SPEARFISH REGIONAL HOSPITAL,SPEARFISH,SD,57783,LAWRENCE,21,0,low
3566,SPECIALISTS HOSPITAL SHREVEPORT,SHREVEPORT,LA,71101,CADDO,66,1,medium
3567,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,GRAND RAPIDS,MI,49503,KENT,20,0,low
3568,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,BIG RAPIDS,MI,49307,MECOSTA,21,0,low
3569,SPECTRUM HEALTH GERBER MEMORIAL,FREMONT,MI,49412,NEWAYGO,20,0,low
3570,SPECTRUM HEALTH KELSEY HOSPITAL,LAKEVIEW,MI,48850,MONTCALM,27,1,medium
3571,SPECTRUM HEALTH PENNOCK,HASTINGS,MI,49058,BARRY,22,1,medium
3572,SPECTRUM HEALTH REED CITY HOSPITAL,REED CITY,MI,49677,OSCEOLA,27,1,medium
3573,SPECTRUM HEALTH UNITED MEMORIAL - UNITED CAMPUS,GREENVILLE,MI,48838,MONTCALM,20,0,low
3574,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,ZEELAND,MI,49464,OTTAWA,20,0,low
3575,SPENCER MUNICIPAL HOSPITAL,SPENCER,IA,51301,CLAY,20,0,low
3576,SPOKANE VA MEDICAL CENTER,SPOKANE,WA,99205,SPOKANE,113,1,medium
3577,SPOONER HEALTH SYSTEM,SPOONER,WI,54801,WASHBURN,27,1,medium
3578,SPOTSYLVANIA REGIONAL MEDICAL CENTER,FREDERICKSBURG,VA,22408,SPOTSYLVANIA,20,0,low
3579,SPRING VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,89118,CLARK,21,0,low
3580,SPRING VIEW HOSPITAL,LEBANON,KY,40033,MARION,21,0,low
3581,SPRINGFIELD HOSPITAL,SPRINGFIELD,VT,5156,WINDSOR,115,2,high
3582,SPRINGFIELD REGIONAL MEDICAL CENTER,SPRINGFIELD,OH,45504,CLARK,23,1,medium
3583,SPRINGHILL MEDICAL CENTER,SPRINGHILL,LA,71075,WEBSTER,21,0,low
3584,SPRINGHILL MEMORIAL HOSPITAL,MOBILE,AL,36608,MOBILE,24,1,medium
3585,SPRINGS MEMORIAL HOSPITAL,LANCASTER,SC,29720,LANCASTER,20,0,low
3586,SSM DEPAUL HEALTH CENTER,BRIDGETON,MO,63044,SAINT LOUIS,21,0,low
3587,SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE,MARYVILLE,MO,64468,NODAWAY,20,0,low
3588,SSM HEALTH ST. MARYS HOSPITAL - JEFFERSON CITY,JEFFERSON CITY,MO,65109,COLE,20,0,low
3589,SSM HEALTH ST. MARYS HOSPITAL-AUDRAIN,MEXICO,MO,65265,AUDRAIN,20,0,low
3590,SSM ST CLARE HEALTH CENTER,FENTON,MO,63026,JEFFERSON,20,0,low
3591,SSM ST JOSEPH HEALTH CENTER,SAINT CHARLES,MO,63301,SAINT CHARLES,21,0,low
3592,SSM ST JOSEPH HOSPITAL WEST,LAKE SAINT LOUIS,MO,63367,SAINT CHARLES,20,0,low
3593,SSM ST MARYS HEALTH CENTER,RICHMOND HEIGHTS,MO,63117,SAINT LOUIS,21,0,low
3594,ST AGNES HOSPITAL,FOND DU LAC,WI,54935,FOND DU LAC,20,0,low
3595,ST ALEXIUS HOSPITAL,SAINT LOUIS,MO,63118,SAINT LOUIS CITY,23,1,medium
3596,ST ALEXIUS MEDICAL CENTER,HOFFMAN ESTATES,IL,60194,COOK,20,0,low
3597,ST ALEXIUS MEDICAL CENTER,BISMARCK,ND,58501,BURLEIGH,20,0,low
3598,ST ALPHONSUS REGIONAL MEDICAL CENTER,BOISE,ID,83706,ADA,20,0,low
3599,ST ANDREWS HEALTH CENTER - CAH,BOTTINEAU,ND,58318,BOTTINEAU,34,1,medium
3600,ST ANDREWS HOSPITAL (LINCOLN COUNTY HEALTHCARE),DAMARISCOTTA,ME,4543,LINCOLN,20,0,low
3601,ST ANTHONY COMMUNITY HOSPITAL,WARWICK,NY,10990,ORANGE,20,0,low
3602,ST ANTHONY HOSPITAL,GIG HARBOR,WA,98332,PIERCE,20,0,low
3603,ST ANTHONY HOSPITAL,OKLAHOMA CITY,OK,73101,OKLAHOMA,24,1,medium
3604,ST ANTHONY HOSPITAL,PENDLETON,OR,97801,UMATILLA,86,1,medium
3605,ST ANTHONY NORTH HEALTH CAMPUS,WESTMINSTER,CO,80023,BROOMFIELD,21,0,low
3606,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,CARROLL,IA,51401,CARROLL,20,0,low
3607,ST ANTHONY SHAWNEE HOSPITAL,SHAWNEE,OK,74804,POTTAWATOMIE,21,0,low
3608,ST ANTHONY SUMMIT MEDICAL CENTER,FRISCO,CO,80443,SUMMIT,20,0,low
3609,ST ANTHONYS HOSPITAL,SAINT PETERSBURG,FL,33705,PINELLAS,22,1,medium
3610,ST ANTHONYS MEDICAL CENTER,SAINT LOUIS,MO,63128,SAINT LOUIS,22,1,medium
3611,ST ANTHONYS MEMORIAL HOSPITAL,EFFINGHAM,IL,62401,EFFINGHAM,20,0,low
3612,ST BARNABAS HOSPITAL,BRONX,NY,10457,BRONX,20,0,low
3613,ST BERNARD HOSPITAL,CHICAGO,IL,60621,COOK,20,0,low
3614,ST BERNARD PARISH HOSPITAL,CHALMETTE,LA,70043,SAINT BERNARD,25,1,medium
3615,ST BERNARDINE MEDICAL CENTER,SAN BERNARDINO,CA,92404,SAN BERNARDINO,20,0,low
3616,ST BERNARDS MEDICAL CENTER,JONESBORO,AR,72401,CRAIGHEAD,20,0,low
3617,ST CATHERINE HOSPITAL,GARDEN CITY,KS,67846,FINNEY,21,0,low
3618,ST CATHERINE HOSPITAL INC,EAST CHICAGO,IN,46312,LAKE,20,0,low
3619,ST CATHERINE OF SIENA HOSPITAL,SMITHTOWN,NY,11787,SUFFOLK,20,0,low
3620,ST CHARLES - MADRAS,MADRAS,OR,97741,JEFFERSON,21,0,low
3621,ST CHARLES HOSPITAL,PORT JEFFERSON,NY,11777,SUFFOLK,21,0,low
3622,ST CHARLES MEDICAL CENTER - BEND,BEND,OR,97701,DESCHUTES,20,0,low
3623,ST CHARLES MEDICAL CENTER - REDMOND,REDMOND,OR,97756,DESCHUTES,20,0,low
3624,ST CHARLES PARISH HOSPITAL,LULING,LA,70070,SAINT CHARLES,21,0,low
3625,ST CLAIR MEMORIAL HOSPITAL,PITTSBURGH,PA,15243,ALLEGHENY,20,0,low
3626,ST CLAIRE REGIONAL MEDICAL CENTER,MOREHEAD,KY,40351,ROWAN,21,0,low
3627,ST CLARE HOSPITAL,LAKEWOOD,WA,98499,PIERCE,20,0,low
3628,ST CLARE HOSPITAL,BARABOO,WI,53913,SAUK,20,0,low
3629,ST CLARES HOSPITAL OF WESTON,WESTON,WI,54476,MARATHON,20,0,low
3630,ST CLOUD HOSPITAL,SAINT CLOUD,MN,56303,STEARNS,20,0,low
3631,ST CLOUD REGIONAL MEDICAL CENTER,SAINT CLOUD,FL,34769,OSCEOLA,21,0,low
3632,ST CLOUD VA MEDICAL CENTER,ST. CLOUD,MN,56303,STEARNS,96,1,medium
3633,ST CROIX REGIONAL MEDICAL CTR,SAINT CROIX FALLS,WI,54024,POLK,113,1,medium
3634,ST DAVIDS MEDICAL CENTER,AUSTIN,TX,78705,TRAVIS,20,0,low
3635,ST DAVIDS SOUTH AUSTIN MEDICAL CENTER,AUSTIN,TX,78704,TRAVIS,20,0,low
3636,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,JACKSON,MS,39216,HINDS,24,1,medium
3637,ST EDWARD HEALTH FACILITIES OF SCOTT COUNTY,WALDRON,AR,72958,SCOTT,89,1,medium
3638,ST EDWARD MERCY MEDICAL CENTER,FORT SMITH,AR,72917,SEBASTIAN,22,1,medium
3639,ST ELIZABETH BOARDMAN HEALTH CENTER,BOARDMAN,OH,44512,MAHONING,20,0,low
3640,ST ELIZABETH COMMUNITY HOSPITAL,RED BLUFF,CA,96080,TEHAMA,21,0,low
3641,ST ELIZABETH FLORENCE,FLORENCE,KY,41042,BOONE,20,0,low
3642,ST ELIZABETH FT THOMAS,FORT THOMAS,KY,41075,CAMPBELL,20,0,low
3643,ST ELIZABETH GRANT,WILLIAMSTOWN,KY,41097,GRANT,20,0,low
3644,ST ELIZABETH HEALTH CENTER,YOUNGSTOWN,OH,44501,MAHONING,20,0,low
3645,ST ELIZABETH HOSPITAL,BELLEVILLE,IL,62220,SAINT CLAIR,20,0,low
3646,ST ELIZABETH HOSPITAL,ENUMCLAW,WA,98022,KING,20,0,low
3647,ST ELIZABETH HOSPITAL,APPLETON,WI,54915,OUTAGAMIE,20,0,low
3648,ST ELIZABETH HOSPITAL,GONZALES,LA,70737,ASCENSION,21,0,low
3649,ST ELIZABETH MEDICAL CENTER,EDGEWOOD,KY,41017,KENTON,20,0,low
3650,ST ELIZABETH MEDICAL CENTER,UTICA,NY,13501,ONEIDA,20,0,low
3651,ST ELIZABETH MEDICAL CENTER,WABASHA,MN,55981,WABASHA,50,1,medium
3652,ST ELIZABETHS MEDICAL CENTER,BRIGHTON,MA,2135,SUFFOLK,21,0,low
3653,ST FRANCIS COMMUNITY HOSPITAL,FEDERAL WAY,WA,98003,KING,22,1,medium
3654,ST FRANCIS HEALTH CENTER INC,TOPEKA,KS,66606,SHAWNEE,20,0,low
3655,ST FRANCIS HOSPITAL,WILMINGTON,DE,19805,NEW CASTLE,20,0,low
3656,ST FRANCIS HOSPITAL,MEMPHIS,TN,38119,SHELBY,20,0,low
3657,ST FRANCIS HOSPITAL,CHARLESTON,WV,25301,KANAWHA,22,1,medium
3658,ST FRANCIS HOSPITAL,ESCANABA,MI,49829,DELTA,36,1,medium
3659,ST FRANCIS HOSPITAL,LITCHFIELD,IL,62056,MONTGOMERY,115,2,high
3660,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,6105,HARTFORD,22,1,medium
3661,"ST FRANCIS HOSPITAL, INC",COLUMBUS,GA,31995,MUSCOGEE,22,1,medium
3662,"ST FRANCIS HOSPITAL, ROSLYN",ROSLYN,NY,11576,NASSAU,21,0,low
3663,ST FRANCIS MEDICAL CENTER,MONROE,LA,71201,OUACHITA,22,1,medium
3664,ST FRANCIS MEDICAL CENTER,BRECKENRIDGE,MN,56520,WILKIN,22,1,medium
3665,ST FRANCIS MEDICAL CENTER,TRENTON,NJ,8629,MERCER,22,1,medium
3666,ST FRANCIS MEMORIAL HOSPITAL,WEST POINT,NE,68788,CUMING,26,1,medium
3667,ST FRANCIS REGIONAL MEDICAL CENTER,SHAKOPEE,MN,55379,SCOTT,20,0,low
3668,ST FRANCIS-DOWNTOWN,GREENVILLE,SC,29601,GREENVILLE,21,0,low
3669,ST GABRIELS HOSPITAL,LITTLE FALLS,MN,56345,MORRISON,20,0,low
3670,ST HELENA HOSPITAL,SAINT HELENA,CA,94574,NAPA,20,0,low
3671,ST HELENA HOSPITAL-CLEARLAKE,CLEARLAKE,CA,95422,LAKE,80,1,medium
3672,ST JAMES HEALTHCARE,BUTTE,MT,59701,SILVER BOW,20,0,low
3673,ST JAMES MERCY HOSPITAL,HORNELL,NY,14843,STEUBEN,20,0,low
3674,ST JAMES PARISH HOSPITAL,LUTCHER,LA,70071,SAINT JAMES,28,1,medium
3675,"ST JOHN BROKEN ARROW, INC",BROKEN ARROW,OK,74012,TULSA,21,0,low
3676,ST JOHN HOSPITAL AND MEDICAL CENTER,DETROIT,MI,48236,WAYNE,21,0,low
3677,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,WARREN,MI,48093,MACOMB,21,0,low
3678,ST JOHN MEDICAL CENTER,WESTLAKE,OH,44145,CUYAHOGA,20,0,low
3679,"ST JOHN MEDICAL CENTER, INC",TULSA,OK,74104,TULSA,23,1,medium
3680,ST JOHN OWASSO,OWASSO,OK,74055,TULSA,20,0,low
3681,ST JOHN RIVER DISTRICT HOSPITAL,EAST CHINA,MI,48054,SAINT CLAIR,20,0,low
3682,ST JOHN SAPULPA,SAPULPA,OK,74066,CREEK,30,1,medium
3683,ST JOHNS EPISCOPAL HOSPITAL AT SOUTH SHORE,FAR ROCKAWAY,NY,11691,QUEENS,23,1,medium
3684,ST JOHNS HOSPITAL,SPRINGFIELD,IL,62769,SANGAMON,20,0,low
3685,ST JOHNS MEDICAL CENTER,JACKSON,WY,83001,TETON,20,0,low
3686,ST JOHNS PLEASANT VALLEY HOSPITAL,CAMARILLO,CA,93010,VENTURA,20,0,low
3687,ST JOHNS REGIONAL MEDICAL CENTER,OXNARD,CA,93030,VENTURA,21,0,low
3688,ST JOHNS RIVERSIDE HOSPITAL,YONKERS,NY,10701,WESTCHESTER,22,1,medium
3689,ST JOSEPH HOSPITAL,ORANGE,CA,92868,ORANGE,20,0,low
3690,ST JOSEPH HOSPITAL,FORT WAYNE,IN,46802,ALLEN,20,0,low
3691,ST JOSEPH HOSPITAL,BANGOR,ME,4401,PENOBSCOT,20,0,low
3692,ST JOSEPH HOSPITAL,BETHPAGE,NY,11714,NASSAU,20,0,low
3693,ST JOSEPH HOSPITAL,NASHUA,NH,3060,HILLSBOROUGH,21,0,low
3694,ST JOSEPH HOSPITAL,EUREKA,CA,95501,HUMBOLDT,22,1,medium
3695,ST JOSEPH HOSPITAL,BUCKHANNON,WV,26201,UPSHUR,120,2,high
3696,ST JOSEPH MEDICAL CENTER,BLOOMINGTON,IL,61701,MCLEAN,20,0,low
3697,ST JOSEPH MEDICAL CENTER,KANSAS CITY,MO,64114,JACKSON,20,0,low
3698,ST JOSEPH MEDICAL CENTER,TACOMA,WA,98405,PIERCE,20,0,low
3699,ST JOSEPH MEDICAL CENTER,READING,PA,19605,BERKS,21,0,low
3700,ST JOSEPH MEDICAL CENTER,HOUSTON,TX,77002,HARRIS,23,1,medium
3701,ST JOSEPH MEMORIAL HOSPITAL,MURPHYSBORO,IL,62966,JACKSON,88,1,medium
3702,ST JOSEPH MERCY CHELSEA,CHELSEA,MI,48118,WASHTENAW,21,0,low
3703,ST JOSEPH MERCY HOSPITAL,ANN ARBOR,MI,48106,WASHTENAW,20,0,low
3704,ST JOSEPH MERCY OAKLAND,PONTIAC,MI,48341,OAKLAND,20,0,low
3705,ST JOSEPH REGIONAL HEALTH CENTER,BRYAN,TX,77802,BRAZOS,22,1,medium
3706,ST JOSEPH REGIONAL MEDICAL CENTER,LEWISTON,ID,83501,NEZ PERCE,20,0,low
3707,ST JOSEPH WARREN HOSPITAL,WARREN,OH,44481,TRUMBULL,23,1,medium
3708,ST JOSEPHS AREA  HEALTH SERVICES,PARK RAPIDS,MN,56470,HUBBARD,29,1,medium
3709,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND,WEST BEND,WI,53095,WASHINGTON,21,0,low
3710,ST JOSEPHS HEALTH SERVICES,HILLSBORO,WI,54634,VERNON,29,1,medium
3711,ST JOSEPHS HOSPITAL,BREESE,IL,62230,CLINTON,20,0,low
3712,ST JOSEPHS HOSPITAL,CHIPPEWA FALLS,WI,54729,CHIPPEWA,20,0,low
3713,ST JOSEPHS HOSPITAL,TAMPA,FL,33677,HILLSBOROUGH,21,0,low
3714,ST JOSEPHS HOSPITAL,PHILADELPHIA,PA,19130,PHILADELPHIA,22,1,medium
3715,ST JOSEPHS HOSPITAL,SAINT PAUL,MN,55102,RAMSEY,23,1,medium
3716,ST JOSEPHS HOSPITAL,HIGHLAND,IL,62249,MADISON,119,2,high
3717,ST JOSEPHS HOSPITAL - SAVANNAH,SAVANNAH,GA,31419,CHATHAM,21,0,low
3718,ST JOSEPHS HOSPITAL & HEALTH CENTER,DICKINSON,ND,58601,STARK,34,1,medium
3719,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,85013,MARICOPA,20,0,low
3720,ST JOSEPHS HOSPITAL HEALTH CENTER,SYRACUSE,NY,13203,ONONDAGA,22,1,medium
3721,"ST JOSEPHS HOSPITAL, INC",ELMIRA,NY,14902,CHEMUNG,21,0,low
3722,ST JOSEPHS MEDICAL CENTER,YONKERS,NY,10701,WESTCHESTER,25,1,medium
3723,ST JOSEPHS MEDICAL CENTER OF STOCKTON,STOCKTON,CA,95204,SAN JOAQUIN,20,0,low
3724,ST JOSEPHS REGIONAL MEDICAL CENTER,PATERSON,NJ,7503,PASSAIC,21,0,low
3725,ST JUDE MEDICAL CENTER,FULLERTON,CA,92835,ORANGE,21,0,low
3726,ST LOUIS UNIVERSITY HOSPITAL,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,20,0,low
3727,ST LOUIS-JOHN COCHRAN VA MEDICAL CENTER,ST. LOUIS,MO,63106,SAINT LOUIS CITY,112,1,medium
3728,ST LUCIE MEDICAL CENTER,PORT SAINT LUCIE,FL,34952,SAINT LUCIE,20,0,low
3729,ST LUKE COMMUNITY HOSPITAL,RONAN,MT,59864,LAKE,26,1,medium
3730,ST LUKE HOSPITAL & LIVING CENTER,MARION,KS,66861,MARION,28,1,medium
3731,ST LUKES CORNWALL HOSPITAL,NEWBURGH,NY,12550,ORANGE,21,0,low
3732,ST LUKES ELMORE MEDICAL CENTER,MOUNTAIN HOME,ID,83647,ELMORE,74,1,medium
3733,ST LUKES HOSPITAL,CEDAR RAPIDS,IA,52402,LINN,20,0,low
3734,ST LUKES HOSPITAL,DULUTH,MN,55805,SAINT LOUIS,20,0,low
3735,ST LUKES HOSPITAL,CHESTERFIELD,MO,63017,SAINT LOUIS,20,0,low
3736,ST LUKES HOSPITAL,MAUMEE,OH,43537,LUCAS,21,0,low
3737,ST LUKES HOSPITAL,COLUMBUS,NC,28722,POLK,92,1,medium
3738,ST LUKES HOSPITAL - ANDERSON CAMPUS,EASTON,PA,18045,NORTHAMPTON,21,0,low
3739,ST LUKES HOSPITAL AT THE VINTAGE,HOUSTON,TX,77070,HARRIS,22,1,medium
3740,ST LUKES HOSPITAL BETHLEHEM,BETHLEHEM,PA,18015,NORTHAMPTON,20,0,low
3741,ST LUKES HOSPITAL OF KANSAS CITY,KANSAS CITY,MO,64111,JACKSON,20,0,low
3742,ST LUKES JEROME,JEROME,ID,83338,JEROME,111,1,medium
3743,ST LUKES LAKESIDE HOSPITAL,THE WOODLANDS,TX,77384,MONTGOMERY,22,1,medium
3744,ST LUKES MAGIC VALLEY RMC,TWIN FALLS,ID,83301,TWIN FALLS,21,0,low
3745,ST LUKES MCCALL,MC CALL,ID,83638,VALLEY,116,2,high
3746,ST LUKES MEDICAL CENTER,PHOENIX,AZ,85006,MARICOPA,21,0,low
3747,ST LUKES MINERS MEMORIAL HOSPITAL,COALDALE,PA,18218,SCHUYLKILL,21,0,low
3748,ST LUKES PATIENTS MEDICAL CENTER,PASADENA,TX,77505,HARRIS,30,1,medium
3749,ST LUKES QUAKERTOWN HOSPITAL,QUAKERTOWN,PA,18951,BUCKS,21,0,low
3750,ST LUKES REGIONAL MEDICAL CENTER,BOISE,ID,83712,ADA,20,0,low
3751,ST LUKES REGIONAL MEDICAL CENTER,SIOUX CITY,IA,51104,WOODBURY,22,1,medium
3752,ST LUKES ROOSEVELT HOSPITAL,NEW YORK,NY,10019,NEW YORK,20,0,low
3753,ST LUKES SUGAR LAND HOSPITAL,SUGAR LAND,TX,77478,FORT BEND,21,0,low
3754,ST LUKES THE WOODLANDS HOSPITAL,THE WOODLANDS,TX,77384,MONTGOMERY,22,1,medium
3755,ST LUKES WARREN HOSPITAL,PHILLIPSBURG,NJ,8865,WARREN,21,0,low
3756,ST LUKES WOOD RIVER MEDICAL CENTER,KETCHUM,ID,83340,BLAINE,120,2,high
3757,ST MARGARETS HOSPITAL,SPRING VALLEY,IL,61362,BUREAU,20,0,low
3758,ST MARKS HOSPITAL,SALT LAKE CITY,UT,84124,SALT LAKE,20,0,low
3759,ST MARKS MEDICAL CENTER,LA GRANGE,TX,78945,FAYETTE,22,1,medium
3760,ST MARTIN HOSPITAL,BREAUX BRIDGE,LA,70517,SAINT MARTIN,74,1,medium
3761,ST MARY MEDICAL CENTER,LONG BEACH,CA,90813,LOS ANGELES,20,0,low
3762,ST MARY MEDICAL CENTER,LANGHORNE,PA,19047,BUCKS,20,0,low
3763,ST MARY MEDICAL CENTER,GALESBURG,IL,61401,KNOX,21,0,low
3764,ST MARY MEDICAL CENTER,APPLE VALLEY,CA,92307,SAN BERNARDINO,22,1,medium
3765,ST MARY MEDICAL CENTER INC,HOBART,IN,46342,LAKE,20,0,low
3766,ST MARY MERCY HOSPITAL,LIVONIA,MI,48154,WAYNE,20,0,low
3767,ST MARYS  MEDICAL CENTER,GRAND JUNCTION,CO,81502,MESA,21,0,low
3768,ST MARYS GENERAL HOSPITAL,PASSAIC,NJ,7055,PASSAIC,21,0,low
3769,ST MARYS GOOD SAMARITAN HOSPITAL,GREENSBORO,GA,30642,GREENE,32,1,medium
3770,ST MARYS HOSPITAL,CENTRALIA,IL,62801,MARION,20,0,low
3771,ST MARYS HOSPITAL,MADISON,WI,53715,DANE,20,0,low
3772,ST MARYS HOSPITAL,ATHENS,GA,30606,CLARKE,21,0,low
3773,ST MARYS HOSPITAL,STREATOR,IL,61364,LA SALLE,21,0,low
3774,ST MARYS HOSPITAL,DECATUR,IL,62521,MACON,23,1,medium
3775,ST MARYS HOSPITAL,COTTONWOOD,ID,83522,IDAHO,101,1,medium
3776,ST MARYS HOSPITAL ( TROY ),TROY,NY,12180,RENSSELAER,20,0,low
3777,ST MARYS HOSPITAL AT AMSTERDAM,AMSTERDAM,NY,12010,MONTGOMERY,21,0,low
3778,ST MARYS HOSPITAL MEDICAL CTR,GREEN BAY,WI,54303,BROWN,20,0,low
3779,ST MARYS HOSPITAL OF SUPERIOR,SUPERIOR,WI,54880,DOUGLAS,20,0,low
3780,ST MARYS JANESVILLE HOSPITAL,JANESVILLE,WI,53546,ROCK,20,0,low
3781,ST MARYS MEDICAL CENTER,HUNTINGTON,WV,25702,CABELL,20,0,low
3782,ST MARYS MEDICAL CENTER,SAN FRANCISCO,CA,94117,SAN FRANCISCO,21,0,low
3783,ST MARYS MEDICAL CENTER,WEST PALM BEACH,FL,33407,PALM BEACH,21,0,low
3784,ST MARYS MEDICAL CENTER,EVANSVILLE,IN,47750,VANDERBURGH,21,0,low
3785,ST MARYS MEDICAL CENTER,BLUE SPRINGS,MO,64014,JACKSON,21,0,low
3786,ST MARYS OF MICHIGAN MEDICAL CENTER,SAGINAW,MI,48601,SAGINAW,23,1,medium
3787,ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,72801,POPE,20,0,low
3788,ST MARYS REGIONAL MEDICAL CENTER,LEWISTON,ME,4240,ANDROSCOGGIN,20,0,low
3789,ST MARYS REGIONAL MEDICAL CENTER,ENID,OK,73701,GARFIELD,22,1,medium
3790,"ST MARYS SACRED HEART HOSPITAL, INC",LAVONIA,GA,30553,FRANKLIN,21,0,low
3791,"ST MARYS WARRICK HOSPITAL, INC",BOONVILLE,IN,47601,WARRICK,66,1,medium
3792,ST NICHOLAS HOSPITAL,SHEBOYGAN,WI,53081,SHEBOYGAN,20,0,low
3793,ST PATRICK HOSPITAL,MISSOULA,MT,59806,MISSOULA,22,1,medium
3794,ST PETERS HOSPITAL,HELENA,MT,59601,LEWIS AND CLARK,20,0,low
3795,ST PETERS HOSPITAL,ALBANY,NY,12208,ALBANY,21,0,low
3796,ST PETERSBURG GENERAL HOSPITAL,SAINT PETERSBURG,FL,33710,PINELLAS,20,0,low
3797,ST RITAS MEDICAL CENTER,LIMA,OH,45801,ALLEN,22,1,medium
